ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
18,`,`,`,`,`,`,"Выбор происходит случайным образом из того, что осталось, и рассчитывается по формуле <color=#FFEB9B>1/n</color>. @ Полученное количество вычитается из списка по каждому классу.",Восстановить,Не удалось восстановить,"Комбинацию магий можно усилить до уровня ультимативного @ Нажмите на кнопку сверху, чтобы проверить.","Нажмите нижнюю кнопку, чтобы продолжить",`,Создание класса,Отмена,`,`,Весь магический урон,Магический урон
19,Загрузка ресурсов...,Проверьте подключение к Интернету.,`,`,`,`,Подтверждение покупки,Выход из игры,Не удалось подключиться к Google Play @ и восстановить игру.,"Нажмите на иконку ультимативного умения, чтобы проверить.",`,`,Пауза,Вы можете изучить свойство.,`,`,Макс. HP врага,`
20,"Если вы удалите игру, все данные пропадут.",Не удалось подключиться к Google Play Games.,`,`,`,`,`,Инструкция по загрузке,Не удалось восстановить,{Комбинацию магий} можно усилить до уровня ультимативного @ Выберите подходящие [Эксперимент] и [Школу] и достигните уровня 〈100〉.,`,`,О персонаже,Мастер,`,`,`,`
21,Используйте Google Cloud для сохранения и восстановления игры в настройках.,Не удалось загрузить информацию таблицы лидеров.,`,`,`,`,`,Вы действительно хотите загрузить данные?,В облаке нет сохраненной игры.,Разблокировано,`,`,Комбинация заклинаний,Недоступно,"Усиление атаки, ускорение движения",Сундук с сокровищами,`,`
22,`,`,`,`,`,`,`,Будут применены данные из предыдущего момента.,Назад,Новая {комбинация магий} разблокирована @ Теперь можно сосредоточить усиление на одном заклинании.,`,`,Недоступно,Уклонение,Продолжительная неуязвимость,Хранилище реликвий,`,`
23,Magic Survival,`,`,`,`,`,`,Запустить,Не удалось восстановить,Новая {комбинация магий} разблокирована,`,`,Изучить,сек.,Притяжение предметов,Чёрный ящик,`,`
24,`,`,`,`,`,`,`,Момент сохранения,Отсутствует подключение к сети. @ Перезапустите игру.,Формула урона,`,`,Комбинация заклинаний,Уровень изучения свойства,`,Обелиск,`,`
25,`,`,`,`,`,`,`,Прозрачность эффектов,Ручное сохранение,"Эффективность увеличивается, если три характеристики сбалансированы.",`,`,"Если выучить необходимые заклинания, то на @ 〈25, 50, 75〉 уровнях будет даваться некоторое число комбинаций.",Обновить,`,Сломанный обелиск,`,`
26,`,`,`,`,`,`,`,`,Автосохранение,`,`,`,Назад,Доступно: ,`,`,`,`
27,`,`,`,`,`,`,`,`,`,`,`,`,"Выучив необходимые заклинания, вы сможете применять комбинации. @ Нажмите кнопку наверху, чтобы посмотреть, какие комбинации существуют.",Не изучать,`,`,`,`
28,`,`,`,`,`,`,`,`,`,`,`,`,Купить,Выберите заклинание для усиления,`,`,`,`
29,`,`,`,`,`,`,`,`,`,`,`,`,"Перебросить [Реролл], чтобы изменить варианты?","Выберите продукт, который хотите приобрести",`,`,`,`
30,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
