ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
15,Bão mùa đông,조합,506 ,372 ,0 ,<color=#F5F5E1>,Vụ nổ của Bão tuyết [mở rộng].,<color=#6EDCFF>,Tăng sát thương Bão tuyết 8X,<color=#6EDCFF>,Tăng kích thước Bão tuyết 25%,<color=#FF6464>,Giảm số lượng Bão tuyết 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,516 ,25 ,515 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,8,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
16,Tia plasma,조합,516 ,391 ,0 ,<color=#F5F5E1>,"Tia bí thuật được [cố định] ở 〈4〉 và trở thành [vĩnh viễn]; với mỗi [1 giây] hồi chiêu giảm từ mốc [4 giây], thêm 〈1〉 [tia]",<color=#F5F5E1>,[Kích thước] và [thời gian] của Tia bí thuật được {chuyển hóa} thành [sát thương],<color=#F5F5E1>,Tia bí thuật gây sát thương mỗi 〈0.25 giây〉,<color=#6EDCFF>,Hệ số sát thương Tia bí thuật tăng thêm 1 theo mỗi tia,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Laser lượng tử,9,Tia bí thuật mạnh hơn và xoay nhanh hơn tỷ lệ thuận với số tia đang hoạt động.,`,`
17,Tia sét,조합,416 ,470 ,0 ,<color=#F5F5E1>,〈5〉 Giông bão được tạo liên tiếp tại các vị trí ngẫu nhiên.,<color=#F5F5E1>,Mỗi Giông bão tăng [bán kính tạo] và [số lượng] của Giông bão mới thêm 〈30%〉.,<color=#6EDCFF>,Tăng sát thương Giông bão 12X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,12,1 ,0 ,1 ,0 ,1 ,0 ,Bão tử thần,4,Giông bão tăng số lần thi triển liên tiếp và được tạo nhanh hơn.,`,`
18,Vụ nổ photon,조합,409 ,35 ,0 ,<color=#F5F5E1>,Khiên phát nổ thay vì nạp lại.,<color=#F5F5E1>,[Sát thương] và [kích thước] của Khiên tăng 〈33%〉 theo mỗi Khiên,<color=#F5F5E1>,[Sát thương] tăng theo [mức tăng kích thước mọi phép],<color=#6EDCFF>,Giảm hồi chiêu Khiên 70%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,233 ,70 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
19,Hỏa ngục,조합,488 ,533 ,0 ,<color=#F5F5E1>,Thiêu hủy sinh ra nhanh hơn và tăng [hệ số tối đa],<color=#EB96FF>,"(Hệ số tối đa: Sát thương X30, Kích thước X2)",<color=#6EDCFF>,Giảm hồi chiêu Thiêu hủy 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,472 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Phán quan,23,Thiêu hủy bùng nổ dữ dội trong tức thì.,`,`
20,Hiệu chỉnh sét,조합,425 ,390 ,0 ,<color=#F5F5E1>,Vùng điện xoay quanh nhân vật dưới dạng nhiều [viên đạn].,<color=#F5F5E1>,Vùng điện không còn [nhịp gây sát thương] nhưng tăng [tốc độ xoay].,<color=#6EDCFF>,Tăng sát thương Vùng điện 10X,<color=#6EDCFF>,Tăng kích thước Vùng điện 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,293 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,10,1 ,0 ,1 ,0 ,1 ,0 ,템페스터,0,감전지대가 더 많은 투사체를 생성하고 더 강해진다.,`,`
21,Lò luyện,조합,535 ,443 ,0 ,<color=#F5F5E1>,Vùng dung nham dần dần [mở rộng].,<color=#F5F5E1>,[Sát thương] tăng theo thời gian tồn tại của Vùng dung nham.,<color=#6EDCFF>,Tăng sát thương Vùng dung nham 10X,<color=#6EDCFF>,Tăng thời gian Vùng dung nham 30%,<color=#6EDCFF>,Giảm hồi chiêu Vùng dung nham 30%,<color=#FFFFFF>,`,585 ,30 ,590 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1281 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
22,Quá tải dòng điện,조합,470 ,382 ,0 ,<color=#F5F5E1>,"Điện giật không còn lan truyền, nhưng được tạo liên tiếp 〈3 đến 7 lần〉.",<color=#F5F5E1>,Điện giật có [tầm đánh] xa hơn.,<color=#6EDCFF>,Tăng sát thương Điện giật 8X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,8,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
23,Đại hồng thủy,조합,435 ,461 ,0 ,<color=#F5F5E1>,〈2〉 Sóng thần bổ sung được tạo ở hai bên Sóng thần.,<color=#F5F5E1>,Sóng thần luôn được tạo ở phía sau nhân vật.,<color=#6EDCFF>,Tăng sát thương Sóng thần 8X,<color=#FF6464>,Tăng hồi chiêu Sóng thần 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,260 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,951 ,8,1 ,0 ,1 ,0 ,1 ,0 ,Siêu sóng thần,17,Sóng thần xuất hiện đồng thời trên diện rộng.,`,`
24,Hoa tuyết nở,조합,399 ,434 ,0 ,<color=#F5F5E1>,"Nova băng nổ liên tiếp 〈24 lần〉 gần kẻ địch, giảm [sát thương] và [kích thước] 〈2%〉 mỗi vụ nổ",<color=#6EDCFF>,Tăng sát thương Nova băng 24X,<color=#6EDCFF>,Giảm hồi chiêu Nova băng 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,378 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1071 ,24,1 ,0 ,1 ,0 ,1 ,0 ,Zero Nova,3,Vụ nổ Nova băng được tạo nhanh chóng với số lượng lớn.,`,`
25,Chúa tể bão tố,조합,461 ,366 ,0 ,<color=#F5F5E1>,〈3〉 Lốc xoáy được tạo liên tiếp theo nhiều hướng.,<color=#F5F5E1>,[Tốc độ di chuyển] của Lốc xoáy tăng lên rồi giảm dần.,<color=#6EDCFF>,Tăng sát thương Lốc xoáy 10X,<color=#6EDCFF>,Tăng kích thước Lốc xoáy 20%,<color=#FF6464>,Giảm thời gian Lốc xoáy 50%,<color=#FFFFFF>,`,397 ,20 ,396 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
26,Siêu trí tuệ,조합,31 ,526 ,0 ,<color=#F5F5E1>,Chỉ thi triển được [Phép kết hợp],<color=#F5F5E1>,"Với mỗi cấp [Phép chủ động] đã học, các chỉ số sau được cường hóa",<color=#FF76DE>,Khuếch đại ATK 1.5%,<color=#64FF32>,Tăng kích thước mọi phép 0.5%,<color=#64FF32>,Giảm hồi chiêu mọi phép 0.3%,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
27,Động cơ vĩnh cửu,조합,524 ,31 ,0 ,<color=#F5F5E1>,Vòng tròn phép trở thành [vĩnh viễn].,<color=#F5F5E1>,[Hiệu ứng] của Vòng tròn phép tăng 〈1%〉 cho mỗi [3%] thời gian tồn tại của nó.,<color=#F5F5E1>,[Hiệu ứng] của Vòng tròn phép tăng 〈1%〉 cho mỗi [3%] hồi chiêu giảm đi của nó.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
28,Cổng sáng thế,조합,31 ,525 ,0 ,<color=#F5F5E1>,"Với mỗi [Phép kết hợp] kích hoạt, [ATK] được {Khuếch đại} 〈20%〉.",<color=#F5F5E1>,Nhận thêm 〈2〉 cơ hội [Phép kết hợp].,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,35 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
29,Vụ nổ nguyên thủy,조합,499 ,373 ,0 ,<color=#F5F5E1>,Tia năng lượng lập tức [phát nổ] sau khi tỏa ra mọi hướng.,<color=#F5F5E1>,[Sát thương] và [số lượng] Tia năng lượng tăng theo thời gian tồn tại.,<color=#6EDCFF>,Tăng sát thương Tia năng lượng 12X,<color=#6EDCFF>,Tăng kích thước vụ nổ Tia năng lượng 50%,<color=#FF6464>,Tăng hồi chiêu Tia năng lượng 75%,<color=#FFFFFF>,`,494 ,75 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,12,1202 ,50,1 ,0 ,1 ,0 ,Blitz,13,Tia năng lượng tách liên tiếp hai lần.,`,`
30,Tia lăng kính,조합,515 ,366 ,0 ,<color=#F5F5E1>,"Thay vì tạo Tia bí thuật ở phía đối diện, @ chúng được tạo [cùng lúc] theo hướng ngẫu nhiên 〈5 lần〉 liên tiếp.",<color=#F5F5E1>,[Thời gian tồn tại] của Tia bí thuật được {chuyển hóa} thành [sát thương].,<color=#6EDCFF>,Tăng sát thương Tia bí thuật 7X,<color=#6EDCFF>,Giảm hồi chiêu Tia bí thuật 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,542 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,7,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
31,Khe nứt lớn,조합,400 ,443 ,0 ,<color=#F5F5E1>,Kẻ địch trúng Nova băng đều bị [Đẩy lùi],<color=#F5F5E1>,Sát thương Nova băng tăng tỷ lệ thuận với kích thước,<color=#6EDCFF>,Tăng sát thương Nova băng 10X,<color=#6EDCFF>,Tăng kích thước Nova băng 50%,<color=#FF6464>,Tăng hồi chiêu Nova băng 50%,<color=#FFFFFF>,`,375 ,50 ,379 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1071 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
32,Hyperion,조합,391 ,445 ,0 ,<color=#F5F5E1>,Một Vệ tinh hợp nhất được tạo thêm ở phía đối diện; [sát thương] của nó thấp hơn 【20%】 nhưng gây {Đóng băng} ở đòn đánh đầu tiên.,<color=#F5F5E1>,[Sát thương] tăng tỷ lệ thuận với kích thước Vệ tinh.,<color=#6EDCFF>,Tăng hệ số sát thương Vệ tinh 50%,<color=#6EDCFF>,Tăng tốc độ xoay Vệ tinh 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,311 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Abaddon,2,"Vệ tinh hợp nhất thành một mặt trời, gây 33% sát thương lên mọi kẻ địch trên toàn chiến trường.",`,`
33,Avatar,조합,367 ,380 ,0 ,<color=#F5F5E1>,Triệu hồi thêm 〈3〉 [Ảo ảnh] bắn Tia phép.,<color=#F5F5E1>,Ảo ảnh chỉ bắn [1] Tia phép mỗi lần.,<color=#F5F5E1>,Mỗi Tia phép tăng [sát thương] thêm 〈33%〉.,<color=#6EDCFF>,Tăng sát thương Tia phép 9.99X,<color=#6EDCFF>,Giảm hồi chiêu Tia phép 33%,<color=#FFFFFF>,`,158 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,851 ,999,1 ,0 ,1 ,0 ,1 ,0 ,Cân bằng,1,Doppelganger tạo thêm 3 phân thân.,`,`
34,Trái tim sấm sét,조합,470 ,497 ,0 ,<color=#F5F5E1>,"Mỗi lần Điện giật lan truyền, viên đạn tách thành 〈2〉 @ và [sát thương] cùng [kích thước] của chúng giảm 【20%】.",<color=#F5F5E1>,Điện giật [lan truyền] với tốc độ cao hơn.,<color=#6EDCFF>,Tăng sát thương Điện giật 8X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,8 ,1 ,0 ,1 ,0 ,1 ,0 ,Hồ quang,12,Điện giật được cường hóa; đạn không còn tách khi lan truyền nhưng không mất sức mạnh.,`,`
35,Đại va chạm,조합,445 ,507 ,0 ,<color=#F5F5E1>,"Thiên thạch được tạo liên tiếp 〈3 lần〉, và [sức mạnh] của Thiên thạch đầu tiên tăng 〈50%〉.",<color=#6EDCFF>,Tăng sát thương Thiên thạch 12X,<color=#6EDCFF>,Giảm hồi chiêu Thiên thạch 30%,<color=#FF6464>,Giảm kích thước Thiên thạch 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,327 ,30 ,325 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,12,1 ,0 ,1 ,0 ,1 ,0 ,Va chạm khổng lồ,5,"Thiên thạch rơi hợp nhất thành một cú va chạm duy nhất, làm choáng mọi kẻ địch gần đó khi nổ.",`,`
36,Trái tim băng giá,조합,427 ,399 ,0 ,<color=#F5F5E1>,Vùng điện [Đóng băng] kẻ địch trong giây lát,<color=#F5F5E1>,"Mỗi lần Vùng điện kích hoạt tăng hệ số [sát thương] và [kích thước] thêm 〈1〉, đặt lại sau 〈4〉 lần kích hoạt",<color=#6EDCFF>,Tăng sát thương Vùng điện 20X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,20,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
37,Hiệu ứng Meisner,조합,426 ,472 ,0 ,<color=#F5F5E1>,"Khi 《EMP》 làm choáng mục tiêu, [đẩy lùi] nó và gây 〈10X〉 {sát thương bổ sung}.",<color=#6EDCFF>,Tăng sát thương Vùng điện 6X,<color=#6EDCFF>,Tăng kích thước Vùng điện 100%,<color=#FF76DE>,Khuếch đại ATK 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,293 ,100 ,16 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,Phong tỏa,16,"Vùng điện sinh ra theo từng đợt sóng, nhịp nhanh hơn tỷ lệ thuận với hồi chiêu.",`,`
38,Oanh tạc năng lượng,조합,516 ,543 ,0 ,<color=#F5F5E1>,Nhiều Tia bí thuật được tạo cùng lúc theo hướng ngẫu nhiên.,<color=#F5F5E1>,Tia bí thuật không còn xoay nữa.,<color=#6EDCFF>,Tăng sát thương Tia bí thuật 20X,<color=#6EDCFF>,Tăng kích thước Tia bí thuật 5X,<color=#FF6464>,Giảm thời gian Tia bí thuật 75%,<color=#FFFFFF>,`,538 ,75 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,20,1239 ,5,1 ,0 ,1 ,0 ,`,0,`,`,`
39,Siêu lốc xoáy,조합,461 ,427 ,0 ,<color=#F5F5E1>,Mọi Lốc xoáy được [hợp nhất] thành một.,<color=#F5F5E1>,Lốc xoáy tồn tại lâu dài và bám theo nhân vật. @ [Hệ số sát thương] tăng theo thời gian Lốc xoáy tồn tại.,<color=#F5F5E1>,[Hồi chiêu] bắt đầu khi Lốc xoáy hết thời gian tồn tại.,<color=#F5F5E1>,Mỗi Lốc xoáy tăng [kích thước] của Lốc xoáy mới thêm 〈20%〉.,<color=#EB96FF>,Tăng thời gian và hồi chiêu Lốc xoáy 100%,<color=#FFFFFF>,`,395 ,100 ,407 ,100 ,1 ,0 ,1 ,0 ,1 ,0 ,1112 ,100,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
