ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
15,Vida ou morte,`,`,`,`,`,Classe obtida,Grande,Falha ao salvar os dados @ pois Google Play não estava acessível.,Adquirir,Compre pontos de Pesquisa com Ouro e fortaleça seus atributos,`,Artefato possuído,Selecionar atributo,`,`,Recuperação de Orbe,Dano de explosão
16,Morrer,`,`,`,`,`,Toque para continuar,Google Cloud,Carregado com sucesso,"Ao aprender uma combinação de magias que atende às condições, é ativada no nível 〈100〉.",Compre Classes com Gema e fortaleça suas habilidades,`,Magia possuída,Os atributos tornam a magia ainda mais forte. @ Selecione um atributo.,`,`,Alcance de coleta de item,Alcance de explosão (fixo)
17,Reviver,`,`,`,`,`,Material de Pesquisa,SALVAR,Dados carregados com sucesso.,Voltar,Confira várias Cobaias que auxiliam suas habilidades,`,Artefato possuído,Aprender,`,`,Vida máx.,`
18,`,`,`,`,`,`,Sorteios de Material de Pesquisa selecionarão <color=#FFEB9B>automaticamente</color> Classes das pilhas restantes. @ Cada sorteio removerá o número correspondente de pilhas.,CARREGAR,Falha ao carregar,Você pode fortalecer uma combinação de magias como Habilidade Suprema @ Clique no botão superior para verificar,Pressione o botão abaixo para continuar,`,Criar nova classe,Cancelar,`,`,Todo o dano mágico,Dano mágico
19,Carregando recursos.,Verifique sua conexão com a Internet.,`,`,`,`,Confirmar compra,Sair do jogo.,Falha ao carregar os dados @ pois Google Play não estava acessível.,Clique no ícone da Habilidade Suprema para verificar,`,`,Pausar,Você pode obter um atributo.,`,`,PV máx. do inimigo,`
20,Desinstalar o jogo também remove seus dados.,Não foi possível conectar ao Google Play Games.,`,`,`,`,`,Guia de Carregamento,Falha ao carregar,Você pode fortalecer {Combinação de Magias} como Habilidade Suprema @ Selecione [Sujeito de Teste] e [Escola] correspondentes e alcance o nível 〈100〉,`,`,Informações de personagem,Mestre,`,`,`,`
21,Use a função Salvar/Carregar do Google Cloud na tela de Opções.,Não foi possível carregar as informações do ranking.,`,`,`,`,`,Deseja realmente carregar os dados?,Sem dados salvos encontrados no Google Play.,Desbloqueado,`,`,Combinação Mágica,Inutilizável,Aumente ataque e velocidade de movimento,Baú do Tesouro,`,`
22,`,`,`,`,`,`,`,Os dados de um momento anterior serão aplicados.,Voltar,Uma nova {Combinação de Magias} foi desbloqueada @ Você pode focar em fortalecer uma única magia,`,`,Inutilizável,Evadir,Duração da invencibilidade,Baú de Relíquias,`,`
23,Sobrevivência mágica,`,`,`,`,`,`,Executar,Falha ao carregar,Uma nova {Combinação de Magias} foi desbloqueada,`,`,Aprender,s,Aumentar alcance de coleta de item,Baú Negro,`,`
24,`,`,`,`,`,`,`,Momento de Salvamento,Conexão de rede não detectada. @ Reinicie o jogo.,Fórmula de dano,`,`,Combinação Mágica,Nível de desbloqueio de atributo,`,Obelisco,`,`
25,`,`,`,`,`,`,`,Transparência dos efeitos,Dados de Salvamento Manual,A eficiência aumenta ao equilibrar os três atributos.,`,`,"Aprenda a magia que atende aos requisitos @ para obter chances de Combinação Mágica nos níveis 〈25, 50, 75〉.",Ressortear,`,Obelisco Quebrado,`,`
26,`,`,`,`,`,`,`,`,Dados de Salvamento Automático,`,`,`,Voltar,Usável: ,`,`,`,`
27,`,`,`,`,`,`,`,`,`,`,`,`,Aprenda a magia que atende aos requisitos para usar Combinações Mágicas. @ Pressione o botão na parte superior para ver as combinações possíveis.,Não aprender.,`,`,`,`
28,`,`,`,`,`,`,`,`,`,`,`,`,Comprar,Escolha um feitiço para fortalecer,`,`,`,`
29,`,`,`,`,`,`,`,`,`,`,`,`,Deseja [Rerrolar] para alterar as opções?,Selecione o produto que deseja adquirir,`,`,`,`
30,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
