ID001,구역 이름,구역 효과,구역 골드 보상 배율,구역 보석 보상 일반,구역 보석 보상 무한01,구역 보석 보상 무한02,구역 보석 보상 무한03,구역 보석 보상 무한04,구역 보석 보상 무한05,구역 보석 보상 합계,구역 설명줄01,구역 설명줄02,구역 설명줄03,ID002,일지 이름,일지 조건 이름,일지 구역ID,일지 조건 설명,일지 조건 유형,일지 조건 값A,일지 조건 값B,일지 해금 구역,일지 보상 보석 개수,일지 설명줄01,일지 설명줄02,일지 설명줄03,일지 설명줄04,일지 설명줄05,일지 설명줄06,일지 설명줄07,일지 설명줄08,일지 설명줄09,일지 설명줄10,UI001,일지개수
10,Bosque,`,380 ,31 ,17 ,16 ,15 ,14 ,8 ,70 ,La mayoría de las instalaciones fueron construidas en una montaña,que fue cerrada al mundo exterior.,`,10,Arsenal,Bosque,10 ,`,`,1080 ,0 ,11 ,400 ,"Conforme el experimento escalaba cada vez más,","para poder identificar y entender cómo se multiplica el Enjambre,",los pueblos cercanos al laboratorio tuvieron que ser abandonados.,`,`,`,`,`,`,`,`,`
11,Ciudad,`,400 ,32 ,18 ,17 ,16 ,15 ,8 ,74 ,La ciudad floreció gracias a un constante y nunca visto acopio de bienes.,`,`,11,Descubrimiento,Ciudad,11 ,`,`,1080 ,0 ,12 ,400 ,Parecía que no había un límite para el crecimiento del Enjambre.,"Aunque no estaba claro si era su instinto o sus intenciones,",el Enjambre siempre actuaba como si estuviera bajo control.,`,`,`,`,`,`,`,`,`
12,Ecosistema artificial,`,500 ,0 ,10 ,12 ,15 ,18 ,20 ,75 ,Un lugar donde la experiencia y el conocimiento se tienen en cuenta.,`,`,12,Persistencia,Límite,12 ,`,`,1800 ,0 ,13 ,500 ,Los intentos para estabilizar la situación fueron un éxito.,"Pero debido a que seguían siendo necesarios,",no fueron exterminados.,`,`,`,`,`,`,`,`,`
13,Profundidades,`,400 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,Los experimentos deben continuar.,`,`,13,éxito de la investigación,Profundidades,13 ,`,`,1500 ,0 ,14 ,500 ,"Naturalmente, asumieron que los productos de la evolución del enjambre descubiertos a través de su investigación eran para su propio beneficio.",`,"Sin embargo, no evolucionaron para matar al enemigo frente a ellos.","Más bien, querían convertirse en nutrientes eficientes y, a través de esto, cultivaban y analizaban homúnculos.",Así como estudiamos los enjambres...,`,`,`,`,Y los resultados fueron una dura prueba para la humanidad.,`,`
14,Terra,`,400 ,0 ,20 ,0 ,0 ,0 ,0 ,0 ,Una nueva era está por llegar.,`,`,14,La era dorada,Terra,14 ,`,`,1500 ,0 ,15 ,500 ,Tras siglos de guerra contra el Rey Demonio @ creíamos que por fin llegaría [Utopía].,`,"Sin embargo, las tragedias del pasado, que antes eran cuestión de vida o muerte, se convirtieron en simple entretenimiento @ y el mundo cayó en la decadencia por el placer.",`,De ese caos nacieron las horribles criaturas: [Homúnculo] y [Enjambre].,Pero los experimentos no se detuvieron. @ Habíamos descubierto nuevas posibilidades en esos monstruos...,`,【La esperanza de que el miedo pudiera renacer.】,`,`,`,`
15,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,15,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
16,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,16,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
17,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,17,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
18,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,18,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
19,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,19,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
20,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,20,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
21,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,21,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
22,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,22,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
23,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,23,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
24,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,24,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
25,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,25,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
26,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,26,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
27,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,27,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
28,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,28,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
29,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,29,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
30,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,30,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
31,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,31,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
32,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,32,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
33,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,33,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
34,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,34,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
35,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,35,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
36,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,36,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
37,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,37,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
38,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,38,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
39,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,39,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
40,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,40,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
41,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,41,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
42,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,42,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
43,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,43,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
44,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,44,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
45,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,45,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
46,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,46,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
47,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,47,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
48,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,48,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
49,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,49,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
50,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,50,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
51,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,51,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
52,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,52,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
53,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,53,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
54,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,54,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
55,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,55,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
56,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,56,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
57,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,57,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
58,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,58,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
59,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,59,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
60,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,60,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
61,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,61,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
62,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,62,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
63,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,63,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
64,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,64,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
65,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,65,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
66,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,66,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
67,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,67,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
68,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,68,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
69,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,69,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
70,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,70,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
71,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,71,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
72,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,72,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
73,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,73,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
74,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,74,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
75,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,75,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
76,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,76,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
77,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,77,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
78,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,78,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
79,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,79,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
80,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,80,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
81,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,81,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
82,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,82,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
83,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,83,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
84,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,84,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
85,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,85,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
86,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,86,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
87,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,87,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
88,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,88,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
89,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,89,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
90,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,90,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
91,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,91,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
92,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,92,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
93,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,93,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
94,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,94,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
95,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,95,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
96,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,96,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
97,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,97,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
98,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,98,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
99,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,99,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
100,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,100,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
101,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,101,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
102,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,102,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
103,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,103,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
104,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,104,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
105,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,105,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
106,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,106,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
107,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,107,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
108,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,108,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
109,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,109,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
110,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,110,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
111,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,111,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
112,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,112,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
113,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,113,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
114,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,114,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
115,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,115,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
